参考市场数量k,结构价格弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,平均相对误差,中位相对误差,最大相对误差
2,0.7,0.15,0.05,0.25,0.4838606733099157,0.44165136955122075,1.085840357009364
2,0.5,0.15,0.05,0.2,0.48398538787026774,0.45977417877582527,1.0949412413375783
3,0.5,0.2,0.05,0.25,0.48422228612871,0.47536283635387677,1.2078815171131239
2,0.9,0.15,0.05,0.3,0.484860287434805,0.3880431040916878,1.078293297444918
4,0.4,0.3,0.05,0.3,0.48495165485740205,0.3860939576437302,1.4650059097917512
3,0.7,0.1,0.05,0.3,0.4851139294827305,0.5353231320069584,0.9640123291993996
3,0.5,0.15,0.05,0.25,0.4854349398254578,0.526391190925623,1.1140536502787737
3,0.4,0.3,0.05,0.25,0.48578160500960343,0.3575072890580967,1.462790807216757
2,0.7,0.3,0.05,0.3,0.48587628835304425,0.3214921156203651,1.4828828279233606
3,0.5,0.15,0.1,0.3,0.48598918854779566,0.4877765630647645,1.100207743021245
2,0.5,0.2,0.05,0.2,0.48613669233295986,0.4352683458856113,1.2184576813683659
4,0.6,0.25,0.05,0.3,0.48616049376614345,0.4371589459415873,1.244079069966637
3,0.8,0.15,0.05,0.3,0.4861963037566098,0.5047440433347002,0.9535765209544022
4,0.5,0.15,0.05,0.2,0.4862213015865042,0.5448297413332956,1.1172312584391118
4,0.7,0.1,0.05,0.25,0.4863890775884476,0.5675637601314035,0.9748554904978389
2,0.7,0.2,0.05,0.25,0.4864754305312959,0.39654874451378436,1.2088081510309654
4,0.4,0.2,0.1,0.3,0.48653659068522503,0.46184593394793955,1.2532760957955849
4,0.4,0.1,0.1,0.25,0.4866173125130775,0.5581580909486584,1.0640689852934915
2,0.6,0.15,0.1,0.3,0.4866889978669559,0.3970687639148053,1.1773982151316342
3,0.6,0.05,0.05,0.3,0.48669125647154726,0.49465934885338114,1.0311064034434836
4,0.4,0.1,0.15,0.3,0.48672546893089513,0.525454671800595,1.041546281799419
2,0.4,0.15,0.1,0.25,0.48686169023224174,0.447281390641624,1.18687935395761
3,0.4,0.25,0.1,0.3,0.48717073212675444,0.4035706279761769,1.3490502172472583
3,0.8,0.2,0.05,0.3,0.4875846948804482,0.4542782498427163,1.047507721749091
3,0.5,0.25,0.05,0.25,0.4875919963644372,0.4243344817821302,1.301709383947475
2,0.9,0.2,0.05,0.3,0.4878446610110885,0.3385136226502317,1.2008045686577569
4,0.6,0.05,0.1,0.3,0.48791450582962603,0.5674578883994129,0.9250085487789109
2,0.4,0.3,0.05,0.2,0.4881143092004778,0.3340407106448664,1.4866510221436735
2,0.5,0.25,0.1,0.3,0.48823273816721446,0.32319356429436946,1.4477476215346348
2,0.5,0.25,0.05,0.2,0.48828799679565216,0.40825528943061784,1.3419741213991534
4,0.4,0.25,0.05,0.25,0.4888681270127019,0.4761257197993138,1.3685571060068469
3,0.4,0.1,0.05,0.25,0.4889060893932752,0.47494873052889963,1.0858560023771169
3,0.8,0.25,0.05,0.3,0.4889730860042867,0.4075218896699828,1.1414389225437793
2,0.7,0.25,0.05,0.25,0.48909018775267604,0.3514461194763478,1.3317759450525666
4,0.7,0.15,0.05,0.25,0.48912628985621887,0.5529292306554568,1.000368370861162
3,0.5,0.2,0.1,0.3,0.48978132595424195,0.4497389515140376,1.1954855772062316
4,0.4,0.15,0.1,0.25,0.4899447611429284,0.5231250542026188,1.1583026865034018
3,0.5,0.1,0.1,0.3,0.48999430408321015,0.5258141746154913,1.0049299088362573
2,0.4,0.2,0.1,0.25,0.49013480742058935,0.40749665743941305,1.3130422476319845
4,0.9,0.05,0.05,0.3,0.49024077820108736,0.5742259191663133,1.0321739962091556
2,0.6,0.2,0.1,0.3,0.4903477583242922,0.3506718793871486,1.3028412122671857
3,0.8,0.3,0.05,0.3,0.4903614771281251,0.3674365004972908,1.2353701233384677
4,0.4,0.05,0.15,0.3,0.4906163743667963,0.5480841947044359,0.9457721603477459
4,0.5,0.1,0.1,0.25,0.4906890019611229,0.5538865561774188,1.0060435325012387
2,0.9,0.25,0.05,0.3,0.4908290345873717,0.3112954204346487,1.3233158398705953
4,0.7,0.1,0.1,0.3,0.4908686288742195,0.6242689874283843,0.9072021392828883
3,0.5,0.3,0.05,0.25,0.4909617066001643,0.37330612721038364,1.3955372507818253
3,0.4,0.05,0.1,0.3,0.49109061933746556,0.5187487617479549,0.9659537314405658
2,0.8,0.05,0.05,0.25,0.49117202427316337,0.49384660537815805,0.8265547768085812
2,0.4,0.05,0.15,0.3,0.49125769148464954,0.48366820659322324,1.0033439548307659
2,0.6,0.05,0.05,0.2,0.49146703093444066,0.5056633766243739,0.8333147335009602
4,0.6,0.2,0.05,0.25,0.491656331283487,0.5004924538169488,1.1477802609114438
2,0.7,0.05,0.1,0.3,0.4916798372646994,0.4792062671335883,0.9128207248232617
4,0.5,0.3,0.05,0.3,0.4916847497631024,0.4060375122506308,1.3988466722408583
4,0.4,0.2,0.05,0.2,0.4916910432051511,0.5349998253164231,1.2775591813134672
3,0.4,0.3,0.1,0.3,0.49181545932957565,0.35564691759908995,1.444824338698932
2,0.6,0.3,0.05,0.25,0.4918481587984123,0.3207069799288966,1.474159244166718
2,0.5,0.05,0.1,0.25,0.49188276100654377,0.49887120266023766,0.9195741298754114
3,0.6,0.2,0.05,0.25,0.49200727675622313,0.4913581496201869,1.1477802609114438
4,0.6,0.15,0.1,0.3,0.4920416289470628,0.5397294772515371,1.0483923105333364
2,1.0,0.05,0.05,0.3,0.49222379802718197,0.4763453320292547,0.8211036143449694
2,0.4,0.05,0.05,0.15,0.4931422164783606,0.510901739431589,0.8414460713491553
3,0.6,0.15,0.05,0.25,0.4932999838734269,0.5281735716198303,1.054341250561336
2,0.6,0.1,0.05,0.2,0.4934132087728709,0.5012327015145319,0.9558436242452634
4,0.8,0.2,0.05,0.3,0.4935437559113902,0.5363799472968052,1.047507721749091
3,0.5,0.25,0.1,0.3,0.4935734633606883,0.4117013399633108,1.2907634113912185
2,0.8,0.1,0.05,0.25,0.4935754515786608,0.47600936477860223,0.9486187152086875
4,0.7,0.05,0.1,0.3,0.49376193915502026,0.5886725089316193,0.9406880265783839
4,0.8,0.1,0.05,0.25,0.4938830015623613,0.578831608676859,0.9914759333923353
2,0.4,0.25,0.1,0.25,0.4939379085670404,0.365228777414548,1.439205141306359
2,0.4,0.1,0.05,0.15,0.49453561663388457,0.4756480722106952,0.964532159570814
3,0.6,0.25,0.05,0.25,0.4945368223693209,0.44112776350379557,1.2412192712615517
3,0.8,0.1,0.05,0.3,0.4947205698205749,0.5552098368266841,0.9775618246358403
2,0.5,0.1,0.1,0.25,0.494931523577605,0.4814489464542622,1.0445872777043326
3,0.6,0.15,0.1,0.3,0.494940273307372,0.5346727601687821,1.0483923105333364
2,1.0,0.1,0.05,0.3,0.4949897367181976,0.4257182064205383,0.9427906299454387
2,0.7,0.1,0.1,0.3,0.49510979166778885,0.4317911810610455,1.0372060819073965
2,0.6,0.15,0.05,0.2,0.49535938661130124,0.4797814030531643,1.0783725149895669
2,0.4,0.1,0.15,0.3,0.49539032863589694,0.4479344875576345,1.1311645503627468
4,0.5,0.05,0.15,0.3,0.49566327897660845,0.6227274042416934,0.8968466479866175
4,0.7,0.25,0.05,0.3,0.49570908089184607,0.43081797243750164,1.1902040585846174
2,0.8,0.3,0.05,0.3,0.49573304412994834,0.33589016672815397,1.463583328838682
2,0.4,0.15,0.05,0.15,0.4959290167894085,0.4748621281389327,1.0876182477924725
2,0.8,0.15,0.05,0.25,0.49597887888415837,0.4299136935850654,1.0706826536087937
3,0.7,0.05,0.05,0.3,0.49602826942010964,0.526251435514294,1.0436069451248946
4,0.5,0.2,0.1,0.3,0.49608423911983135,0.45605806771244745,1.1954855772062316
3,0.5,0.1,0.05,0.25,0.4964813065967669,0.5046392276434968,1.0202257834444235
3,0.9,0.15,0.05,0.3,0.49665368435178553,0.5230932493096971,0.9131226447087314
4,0.9,0.15,0.05,0.3,0.4969877327557929,0.6309461520891618,0.9142173925401701
3,0.6,0.3,0.05,0.25,0.4970663679824184,0.3948993996524552,1.3346582816116586
4,0.5,0.25,0.05,0.25,0.49713158548122394,0.4704570162408811,1.301709383947475
3,0.9,0.2,0.05,0.3,0.49728123928554413,0.4719583276196299,1.0037936186139385
2,0.6,0.2,0.05,0.2,0.4973055644497313,0.43779976585224695,1.2009014057338698
2,0.4,0.2,0.05,0.15,0.4973224169449325,0.42752345128921704,1.2107043360141314
3,0.5,0.3,0.1,0.3,0.4973656007671347,0.3736637284125838,1.3860412455762054
2,0.5,0.3,0.05,0.2,0.4975112956013934,0.3671722796395295,1.4654905614299414
4,0.6,0.15,0.05,0.2,0.4976103972493387,0.558987094739917,1.0561834026069892
2,1.0,0.15,0.05,0.3,0.4977556754092132,0.3750910808118218,1.0644776455459077
3,0.6,0.2,0.1,0.3,0.49790781290010244,0.4855042849473922,1.1431966715400388
3,0.9,0.25,0.05,0.3,0.4979087942193028,0.4208234059295628,1.0973270407176432
2,0.5,0.15,0.1,0.25,0.49798028614866613,0.43825956570875807,1.169600425533254
4,0.4,0.05,0.05,0.25,0.49819875774126715,0.431029036787292,0.9934535747934903
2,0.6,0.25,0.1,0.3,0.4982015795599401,0.3200348507681829,1.4282842094027381
2,0.8,0.2,0.05,0.25,0.4983823061896559,0.3838180223915289,1.1927465920089
3,0.9,0.3,0.05,0.3,0.49853634915306144,0.36968848423949613,1.1908604628213482
2,0.7,0.15,0.1,0.3,0.49853974607087853,0.38437609498850306,1.1615914389915318
3,0.4,0.2,0.05,0.2,0.49854459954481456,0.5313879327066772,1.2775591813134672
4,0.6,0.1,0.1,0.25,0.4986328474813899,0.6053333720582385,0.9536494002345445
2,0.4,0.25,0.05,0.15,0.4987158171004564,0.40216766338061355,1.3337904242357903
3,0.6,0.1,0.1,0.3,0.4989728129769928,0.563051644336809,0.9535879495266336
4,0.5,0.1,0.15,0.3,0.4991289444998789,0.613173135745803,0.992124482171604
2,0.6,0.25,0.05,0.2,0.4992517422881616,0.3958181286513297,1.3234302964781732
3,0.4,0.05,0.05,0.25,0.49935434168534887,0.431029036787292,1.0583837208878362
4,0.6,0.3,0.05,0.3,0.4993672828802242,0.39943573760712797,1.3388834309733393
2,0.4,0.15,0.15,0.3,0.4995229657871444,0.4071897107996764,1.2589851458947285
3,0.4,0.15,0.1,0.25,0.499580906268557,0.5204348998812329,1.1583026865034018
3,0.5,0.05,0.1,0.3,0.49979705209882486,0.5442222897533369,0.9536170264095991
2,1.0,0.2,0.05,0.3,0.5005216141002288,0.3244639552031054,1.186164661146377
3,0.7,0.2,0.05,0.25,0.5006466643605008,0.5106402544704377,1.0934373419916523
4,0.8,0.05,0.1,0.3,0.50070987905932,0.6080611561037812,0.9568932909026916
2,0.8,0.25,0.05,0.25,0.5007857334951535,0.33772235119799204,1.3148105304090065
4,0.5,0.05,0.05,0.25,0.5008472593597447,0.46350484551164073,1.0081454675411021
3,0.6,0.25,0.1,0.3,0.5008753524928331,0.4363358097260025,1.2380010325467423
2,0.5,0.2,0.1,0.25,0.5010290487197274,0.3950701849632538,1.2946135733621753
4,0.5,0.15,0.1,0.25,0.501167557890012,0.5305758868603502,1.0998713993355895
4,0.5,0.2,0.05,0.2,0.5016038199290569,0.5300057484461993,1.2096584806422483
4,1.0,0.05,0.05,0.3,0.5016941489765938,0.5872124002027351,1.0494036819250423
2,0.7,0.3,0.05,0.25,0.5017791486121401,0.3214921156203651,1.4547437390741682
4,0.6,0.05,0.15,0.3,0.5018506903193237,0.6402564279454447,0.8663130535672693
2,0.7,0.2,0.1,0.3,0.501969700473968,0.33696100891596037,1.2859767960756665
3,0.7,0.15,0.05,0.25,0.5020436523665291,0.5529292306554568,1.000368370861162
4,0.8,0.15,0.05,0.25,0.5021675569892098,0.6131924732355581,0.9516075439882172
3,0.4,0.25,0.05,0.2,0.5023480844922151,0.48007206710158606,1.3703037694547353
3,0.7,0.25,0.05,0.25,0.5023609536324273,0.45827600522194184,1.1865063131221434
2,0.4,0.3,0.1,0.3,0.5025186597715098,0.3143235128361168,1.5966524791407095
3,0.4,0.1,0.15,0.3,0.502573541759879,0.525454671800595,1.041546281799419
4,0.7,0.2,0.05,0.25,0.5028219055384439,0.5271418360038891,1.0934373419916523
2,0.4,0.3,0.05,0.15,0.502895088663673,0.3776741937705862,1.4568765124574492
4,0.4,0.25,0.1,0.3,0.5031067401563086,0.4250167149985491,1.3490502172472583
2,0.5,0.05,0.15,0.3,0.5031545647572137,0.4934025712863425,0.9893013545816683
4,1.0,0.1,0.05,0.3,0.5031799083270044,0.6175621995771942,0.9908816221148966
2,1.0,0.25,0.05,0.3,0.5032875527912446,0.325865271850745,1.3078516767468458
4,0.4,0.15,0.15,0.3,0.5032956184019786,0.5043729471369197,1.1373204032510922
3,0.4,0.15,0.15,0.3,0.5035198164116361,0.5043729471369197,1.1373204032510922
2,0.4,0.2,0.15,0.3,0.5036556029383917,0.36644493404171785,1.3868057414267099
3,0.4,0.2,0.1,0.25,0.5038064913169924,0.4848695419744304,1.2525363877133118
3,0.6,0.3,0.1,0.3,0.5038428920855638,0.3871673345046128,1.3328053935534456
2,0.7,0.05,0.05,0.2,0.5039165900975205,0.5120826539947049,0.8198801781550074
3,0.7,0.3,0.05,0.25,0.5040752429043539,0.408127392792737,1.2795752842526344
2,0.5,0.25,0.1,0.25,0.5040778112907887,0.3518808042177495,1.419626721191096
2,0.6,0.05,0.1,0.25,0.5041139629078213,0.5052057578474737,0.9057945126216427
4,0.4,0.3,0.05,0.25,0.504204700450284,0.4410926830532742,1.462790807216757
4,0.9,0.1,0.05,0.25,0.5043052869468316,0.5993791147720317,1.0086464653136622
2,0.9,0.05,0.05,0.25,0.5044144109490327,0.5110535751227141,0.8143050488796386
4,0.7,0.15,0.1,0.3,0.5044178127325658,0.6283624983168904,1.001557257722811
4,0.6,0.05,0.05,0.25,0.5046029940921977,0.5174890004604519,1.0233295486901066
2,0.8,0.05,0.1,0.3,0.5046874212204729,0.4682903682128967,0.9002682111401846
3,0.7,0.15,0.1,0.3,0.5047284024474448,0.5528585474259121,1.001557257722811
4,0.4,0.1,0.05,0.2,0.5048020509120756,0.47230466666036824,1.092070005030931
2,0.5,0.05,0.05,0.15,0.5048336143145907,0.5761708070976936,0.8267657666263429
